video_id,page_url,crawl_time,sec_item_id,group_id,comment_gid,share_url,caption,desc,preview_title,item_title,create_time,duration_ms,aweme_type,media_type,region,is_top,is_ads,is_life_item,original,shoot_way,digg_count,comment_count,share_count,collect_count,play_count,recommend_count,admire_count,primary_source_key
7622473264698314036,https://www.douyin.com/video/7622473264698314036,2026-05-06 22:27:51.440174,MS4wLjAAAAAA6Mquy3BmLEG5-pXrqm-oV_i5tLp-PXduyyiVI4XoctU1v2Q-n-cFA4FQUW6y08IT,7616065445984062755,7622473264698314036,,超好看的丧尸题材动漫，值得收藏#动漫推荐 #动漫解说 #二次元 #动漫充能计划 #我在抖音看动漫,结语,只要胆子大，僵尸放产假！ 超好看的丧尸题材动漫，值得收藏#动漫推荐 #动漫解说 #二次元 #动漫充能计划 #我在抖音看动漫,只要胆子大，僵尸放产假！,1774753080,986662,0,4,,0,False,False,0,,22132,495,821,8555,0,1639,0,network_response_16
7622305689017351906,https://www.douyin.com/video/7622305689017351906,2026-05-06 22:28:01.155449,MS4wLjAAAAAA5t7Aq4DSlhRqWmKIihyRksarIxjkMT_iChP47YS7_N1PL611d6-8Oomduyok8lVC,7622305689017351906,7622305689017351906,,#抖音美食创作人 #吃播 #咀嚼音,红油捞汁小海鲜😋 #抖音美食创作人 #吃播 #咀嚼音,红油捞汁小海鲜😋 #抖音美食创作人 #吃播 #咀嚼音,红油捞汁小海鲜😋,1774706340,146300,0,4,CN,0,False,False,0,,106179,1124,54816,6496,0,2837,0,network_response_33
7619990977893339510,https://www.douyin.com/video/7619990977893339510,2026-05-06 22:28:13.647715,MS4wLjAAAAAA0Jy2xj7EZ5AVihrpNDq2SUfGN570RYlP_ev288E4hvESx9IwNLUyotLZ5VSbNEoN,7619990977893339510,7619990977893339510,,来之前特地问本地朋友推荐美食，果然又一次刷新了我对重庆的认知，两天胖了四斤太满足了#第一批五一玩家已出发  #重庆特色美食 #重庆美食 #没人能拒绝重庆的美食,极限48小时逛吃重庆，两天吃了23家店整理出这份美食攻略！ 来之前特地问本地朋友推荐美食，果然又一次刷新了我对重庆的认知，两天胖了四斤太满足了#第一批五一玩家已出发  #重庆特色美食 #重庆美食 #没人能拒绝重庆的美食,极限48小时逛吃重庆，两天吃了23家店整理出这份美食攻略！ 来之前特地问本地朋友推荐美食，果然又一次刷新了我对重庆的认知，两天胖了四斤太满足了#第一批五一玩家已出发  #重庆特色美食 #重庆美食 #没人能拒绝重庆的美食,极限48小时逛吃重庆，两天吃了23家店整理出这份美食攻略！,1774167404,247900,0,4,CN,0,False,True,0,,89355,3586,73329,53083,0,1099,0,
7622236469284850970,https://www.douyin.com/video/7622236469284850970,2026-05-06 22:28:26.332811,MS4wLjAAAAAAZGcmzPzKV1L_pWPCFBAD82DmWKMj00Ug1_Vvw5PS-xa1ZGWi7LcC3yqnTkP9cbJx,7622236469284850970,7622236469284850970,,给他做几个可以冷吃的冰面包当早餐吧！#投喂高中生 #冰面包 @王皓琦,儿子高中住校，怕他早餐吃不好 给他做几个可以冷吃的冰面包当早餐吧！#投喂高中生 #冰面包 @王皓琦,儿子高中住校，怕他早餐吃不好 给他做几个可以冷吃的冰面包当早餐吧！#投喂高中生 #冰面包 @王皓琦,儿子高中住校，怕他早餐吃不好,1774690228,305041,0,4,,0,False,False,0,,153002,649,10242,11812,0,2137,0,network_response_34
7625943440111941754,https://www.douyin.com/video/7625943440111941754,2026-05-06 22:28:40.149038,MS4wLjAAAAAA_2i6uUbLGlUzND3Z40WmPqy9Y-a5pmrzSb0ac_hnwn-EiQcG07jaH0zyo8CiptbJ,7625943440111941754,7625943440111941754,,"挑战比格披萨只是最贵单品羊肉串，将近55元1斤，看看能吃多少串!
#vlog十亿流量扶持计划 #毛铺荞酒换新装了 #荆楚都爱这一口 #武汉劲滋味","挑战比格披萨只是最贵单品羊肉串，将近55元1斤，看看能吃多少串!
#vlog十亿流量扶持计划 #毛铺荞酒换新装了 #荆楚都爱这一口 #武汉劲滋味","挑战比格披萨只是最贵单品羊肉串，将近55元1斤，看看能吃多少串!
#vlog十亿流量扶持计划 #毛铺荞酒换新装了 #荆楚都爱这一口 #武汉劲滋味",,1775553320,326984,0,4,CN,0,False,False,0,,7784,621,4270,416,0,87,0,network_response_28
7613388807098143194,https://www.douyin.com/video/7613388807098143194,2026-05-06 22:28:55.065752,MS4wLjAAAAAA3cunXfK3IY-CJwYrb-yDwuVJ0_8iB4Fst23FvTpyKcmSUic9OPh8eD6WoPBh_F7b,7613388807098143194,7613388807098143194,,开学必看的免煮冲泡速食红黑榜合集来啦！主播从账号创建以来共测评过128款速食，其中66款都是免煮冲泡的，我将分为从夯到拉进行排序#测评#速食 #冲泡即食 #火鸡面 #宿舍美食,引言,开学必看的免煮冲泡速食红黑榜合集来啦！主播从账号创建以来共测评过128款速食，其中66款都是免煮冲泡的，我将分为从夯到拉进行排序#测评#速食 #冲泡即食 #火鸡面 #宿舍美食,,1772630217,415367,0,4,CN,0,False,False,0,,200388,7574,46855,63374,0,2093,3,network_response_28
7628946780247428378,https://www.douyin.com/video/7628946780247428378,2026-05-06 22:29:09.842175,MS4wLjAAAAAAVNZlWh6IacgRCY5oO8iZBYZPkhVwzgtB_GDleFzlehC6E5H3JMcln2MDLRYgTaYM,7628946780247428378,7628946780247428378,,#斩神 #安卿鱼 #拽哥 #我在抖音看动漫 #充能计划,百里胖胖,夜幕小队人均两幅面孔，简直反差感拉满。 #斩神 #安卿鱼 #拽哥 #我在抖音看动漫 #充能计划,夜幕小队人均两幅面孔，简直反差感拉满。,1776252594,276969,0,4,,0,False,False,0,,18900,321,1610,3915,0,1063,0,network_response_29
7621066610589142322,https://www.douyin.com/video/7621066610589142322,2026-05-06 22:29:23.397712,,,,,,榜单按照加入粉丝团、新增粉丝、送礼等互动行为综合排序，榜单值越高排名越靠前。,,,1778077261122,,,,,,,,,,,,,,,,,
7604806816416927022,https://www.douyin.com/video/7604806816416927022,2026-05-06 22:29:30.655959,MS4wLjAAAAAANSQ8bh5aqDceVpFcy0VFdYu_UvLETOWXRJ8h7mvcKAsr_J4_XB0hFxefXsLqRNmW,7596983975621496098,7604806816416927022,,#我在抖音看动漫#动漫编年史#热血番补完计划#抖音ACG新春会#年味满满,你以为这是给小朋友看的幼儿节目吗？ #我在抖音看动漫#动漫编年史#热血番补完计划#抖音ACG新春会#年味满满,你以为这是给小朋友看的幼儿节目吗？ #我在抖音看动漫#动漫编年史#热血番补完计划#抖音ACG新春会#年味满满,你以为这是给小朋友看的幼儿节目吗？,1770888600,229646,0,4,,0,False,False,0,,308762,1993,21163,84465,0,7960,0,network_response_19
7598118255686283761,https://www.douyin.com/video/7598118255686283761,2026-05-06 22:29:39.908766,MS4wLjAAAAAA7kcl3rx-8eltONbmup5a8LVLRtJw5tD99_HMQZYV492-hAC3mzuiq775iETeXxt8,7598118255686283761,7598118255686283761,,#小学生劣质零食 #儿时的回忆 #洋娃子,第一口,挑战用两口吃完! #小学生劣质零食 #儿时的回忆 #洋娃子,挑战用两口吃完!,1769075371,196138,0,4,CN,0,False,False,0,,67276,3007,4019,45719,0,2974,0,network_response_32
