video_id,page_url,crawl_time,sec_item_id,group_id,comment_gid,share_url,caption,desc,preview_title,item_title,create_time,duration_ms,aweme_type,media_type,region,is_top,is_ads,is_life_item,original,shoot_way,digg_count,comment_count,share_count,collect_count,play_count,recommend_count,admire_count,primary_source_key
7622473264698314036,https://www.douyin.com/video/7622473264698314036,2026-05-06 18:29:05.809709,MS4wLjAAAAAA6Mquy3BmLEG5-pXrqm-oV_i5tLp-PXduyyiVI4XoctU1v2Q-n-cFA4FQUW6y08IT,7616065445984062755,7622473264698314036,,超好看的丧尸题材动漫，值得收藏#动漫推荐 #动漫解说 #二次元 #动漫充能计划 #我在抖音看动漫,结语,只要胆子大，僵尸放产假！ 超好看的丧尸题材动漫，值得收藏#动漫推荐 #动漫解说 #二次元 #动漫充能计划 #我在抖音看动漫,只要胆子大，僵尸放产假！,1774753080,986662,0,4,,0,False,False,0,,22117,495,821,8551,0,1637,0,network_response_29
7622305689017351906,https://www.douyin.com/video/7622305689017351906,2026-05-06 18:29:15.013238,,,,,,榜单按照加入粉丝团、新增粉丝、送礼等互动行为综合排序，榜单值越高排名越靠前。,,,1778063356338,,,,,,,,,,,,,,,,,
7619990977893339510,https://www.douyin.com/video/7619990977893339510,2026-05-06 18:29:19.772370,MS4wLjAAAAAA0Jy2xj7EZ5AVihrpNDq2SUfGN570RYlP_ev288E4hvESx9IwNLUyotLZ5VSbNEoN,7619990977893339510,7619990977893339510,,来之前特地问本地朋友推荐美食，果然又一次刷新了我对重庆的认知，两天胖了四斤太满足了#第一批五一玩家已出发  #重庆特色美食 #重庆美食 #没人能拒绝重庆的美食,极限48小时逛吃重庆，两天吃了23家店整理出这份美食攻略！ 来之前特地问本地朋友推荐美食，果然又一次刷新了我对重庆的认知，两天胖了四斤太满足了#第一批五一玩家已出发  #重庆特色美食 #重庆美食 #没人能拒绝重庆的美食,极限48小时逛吃重庆，两天吃了23家店整理出这份美食攻略！ 来之前特地问本地朋友推荐美食，果然又一次刷新了我对重庆的认知，两天胖了四斤太满足了#第一批五一玩家已出发  #重庆特色美食 #重庆美食 #没人能拒绝重庆的美食,极限48小时逛吃重庆，两天吃了23家店整理出这份美食攻略！,1774167404,247900,0,4,CN,0,False,True,0,,89195,3575,73156,52932,0,1096,0,
7622236469284850970,https://www.douyin.com/video/7622236469284850970,2026-05-06 18:29:26.031967,MS4wLjAAAAAAZGcmzPzKV1L_pWPCFBAD82DmWKMj00Ug1_Vvw5PS-xa1ZGWi7LcC3yqnTkP9cbJx,7622236469284850970,7622236469284850970,,给他做几个可以冷吃的冰面包当早餐吧！#投喂高中生 #冰面包 @王皓琦,儿子高中住校，怕他早餐吃不好 给他做几个可以冷吃的冰面包当早餐吧！#投喂高中生 #冰面包 @王皓琦,儿子高中住校，怕他早餐吃不好 给他做几个可以冷吃的冰面包当早餐吧！#投喂高中生 #冰面包 @王皓琦,儿子高中住校，怕他早餐吃不好,1774690228,305041,0,4,,0,False,False,0,,152959,649,10235,11801,0,2135,0,network_response_32
7625943440111941754,https://www.douyin.com/video/7625943440111941754,2026-05-06 18:29:39.345909,MS4wLjAAAAAA_2i6uUbLGlUzND3Z40WmPqy9Y-a5pmrzSb0ac_hnwn-EiQcG07jaH0zyo8CiptbJ,7625943440111941754,7625943440111941754,,"挑战比格披萨只是最贵单品羊肉串，将近55元1斤，看看能吃多少串!
#vlog十亿流量扶持计划 #毛铺荞酒换新装了 #荆楚都爱这一口 #武汉劲滋味","挑战比格披萨只是最贵单品羊肉串，将近55元1斤，看看能吃多少串!
#vlog十亿流量扶持计划 #毛铺荞酒换新装了 #荆楚都爱这一口 #武汉劲滋味","挑战比格披萨只是最贵单品羊肉串，将近55元1斤，看看能吃多少串!
#vlog十亿流量扶持计划 #毛铺荞酒换新装了 #荆楚都爱这一口 #武汉劲滋味",,1775553320,326984,0,4,CN,0,False,False,0,,7767,621,4264,415,0,86,0,network_response_27
7613388807098143194,https://www.douyin.com/video/7613388807098143194,2026-05-06 18:29:51.389041,MS4wLjAAAAAA3cunXfK3IY-CJwYrb-yDwuVJ0_8iB4Fst23FvTpyKcmSUic9OPh8eD6WoPBh_F7b,7613388807098143194,7613388807098143194,,开学必看的免煮冲泡速食红黑榜合集来啦！主播从账号创建以来共测评过128款速食，其中66款都是免煮冲泡的，我将分为从夯到拉进行排序#测评#速食 #冲泡即食 #火鸡面 #宿舍美食,引言,开学必看的免煮冲泡速食红黑榜合集来啦！主播从账号创建以来共测评过128款速食，其中66款都是免煮冲泡的，我将分为从夯到拉进行排序#测评#速食 #冲泡即食 #火鸡面 #宿舍美食,,1772630217,415367,0,4,CN,0,False,False,0,,200220,7573,46818,63344,0,2089,3,network_response_31
7628946780247428378,https://www.douyin.com/video/7628946780247428378,2026-05-06 18:30:00.900383,MS4wLjAAAAAAVNZlWh6IacgRCY5oO8iZBYZPkhVwzgtB_GDleFzlehC6E5H3JMcln2MDLRYgTaYM,7628946780247428378,7628946780247428378,,#斩神 #安卿鱼 #拽哥 #我在抖音看动漫 #充能计划,百里胖胖,夜幕小队人均两幅面孔，简直反差感拉满。 #斩神 #安卿鱼 #拽哥 #我在抖音看动漫 #充能计划,夜幕小队人均两幅面孔，简直反差感拉满。,1776252594,276969,0,4,,0,False,False,0,,18816,321,1597,3894,0,1060,0,network_response_27
7621066610589142322,https://www.douyin.com/video/7621066610589142322,2026-05-06 18:30:13.319622,MS4wLjAAAAAA2Lw-vphixkYcQ5AB_eEkAOK1Eow8pvJ07LWiw0ICWuetFgyxjXHMpAqqXFkvNNHI,7621066610589142322,7621066610589142322,,#我的世界中国版 #我的世界苍园觉醒 #我的世界心选模组#青年创作者成长计划,一口气看完斗罗大陆三生战魂篇之我是千万年魂环的海神大人 #我的世界中国版 #我的世界苍园觉醒 #我的世界心选模组#青年创作者成长计划,一口气看完斗罗大陆三生战魂篇之我是千万年魂环的海神大人 #我的世界中国版 #我的世界苍园觉醒 #我的世界心选模组#青年创作者成长计划,一口气看完斗罗大陆三生战魂篇之我是千万年魂环的海神大人,1774429200,2562667,0,4,,0,False,False,0,,2097,44,65,988,0,70,0,
7604806816416927022,https://www.douyin.com/video/7604806816416927022,2026-05-06 18:30:23.959223,,,,,,,,,1778063431143,,,,,,,,,,,,,,,,,
7598118255686283761,https://www.douyin.com/video/7598118255686283761,2026-05-06 18:30:34.838470,,,,,,榜单按照加入粉丝团、新增粉丝、送礼等互动行为综合排序，榜单值越高排名越靠前。,,,1778063447570,60000,,,,,,,,,,,,,,,,
